Navn,Stasjon,Tid(norsk normaltid),Nedbør (1 t)
Trondheim - Høvringen,SN68010,13-05-2022 09:00:00,0
Trondheim - Høvringen,SN68010,13-05-2022 10:00:00,0
Trondheim - Høvringen,SN68010,13-05-2022 11:00:00,0
Trondheim - Høvringen,SN68010,13-05-2022 12:00:00,0
Trondheim - Høvringen,SN68010,13-05-2022 13:00:00,0
Trondheim - Høvringen,SN68010,13-05-2022 14:00:00,0
Trondheim - Høvringen,SN68010,13-05-2022 15:00:00,0
Trondheim - Høvringen,SN68010,13-05-2022 16:00:00,0.4
Trondheim - Høvringen,SN68010,13-05-2022 17:00:00,0.1
Trondheim - Høvringen,SN68010,13-05-2022 18:00:00,0
Trondheim - Høvringen,SN68010,13-05-2022 19:00:00,1.2
Trondheim - Høvringen,SN68010,13-05-2022 20:00:00,0.1
Trondheim - Høvringen,SN68010,13-05-2022 21:00:00,0
Trondheim - Høvringen,SN68010,13-05-2022 22:00:00,0.5
Trondheim - Høvringen,SN68010,13-05-2022 23:00:00,0.6
Trondheim - Høvringen,SN68010,14-05-2022 00:00:00,0.4
Trondheim - Høvringen,SN68010,14-05-2022 01:00:00,0.1
Trondheim - Høvringen,SN68010,14-05-2022 02:00:00,0.1
Trondheim - Høvringen,SN68010,14-05-2022 03:00:00,0.1
Trondheim - Høvringen,SN68010,14-05-2022 04:00:00,0
Trondheim - Høvringen,SN68010,14-05-2022 05:00:00,0
Trondheim - Høvringen,SN68010,14-05-2022 06:00:00,0
Trondheim - Høvringen,SN68010,14-05-2022 07:00:00,0.1
Trondheim - Høvringen,SN68010,14-05-2022 08:00:00,0
Trondheim - Høvringen,SN68010,14-05-2022 09:00:00,0.6
Trondheim - Høvringen,SN68010,14-05-2022 10:00:00,0.9
Trondheim - Høvringen,SN68010,14-05-2022 11:00:00,0.9
Trondheim - Høvringen,SN68010,14-05-2022 12:00:00,1
Trondheim - Høvringen,SN68010,14-05-2022 13:00:00,0.2
Trondheim - Høvringen,SN68010,14-05-2022 14:00:00,0.1
Trondheim - Høvringen,SN68010,14-05-2022 15:00:00,0.1
Trondheim - Høvringen,SN68010,14-05-2022 16:00:00,0
Trondheim - Høvringen,SN68010,14-05-2022 17:00:00,0.4
Trondheim - Høvringen,SN68010,14-05-2022 18:00:00,0.1
Trondheim - Høvringen,SN68010,14-05-2022 19:00:00,0
Trondheim - Høvringen,SN68010,14-05-2022 20:00:00,0.1
Trondheim - Høvringen,SN68010,14-05-2022 21:00:00,0
Trondheim - Høvringen,SN68010,14-05-2022 22:00:00,0.5
Trondheim - Høvringen,SN68010,14-05-2022 23:00:00,0.4
Trondheim - Høvringen,SN68010,15-05-2022 00:00:00,0.3
Trondheim - Høvringen,SN68010,15-05-2022 01:00:00,0.1
Trondheim - Høvringen,SN68010,15-05-2022 02:00:00,0
Trondheim - Høvringen,SN68010,15-05-2022 03:00:00,1.1
Trondheim - Høvringen,SN68010,15-05-2022 04:00:00,0.2
Trondheim - Høvringen,SN68010,15-05-2022 05:00:00,0.5
Trondheim - Høvringen,SN68010,15-05-2022 06:00:00,0
Trondheim - Høvringen,SN68010,15-05-2022 07:00:00,0.1
Trondheim - Høvringen,SN68010,15-05-2022 08:00:00,0
Trondheim - Høvringen,SN68010,15-05-2022 09:00:00,0
Trondheim - Høvringen,SN68010,15-05-2022 10:00:00,0.2
Trondheim - Høvringen,SN68010,15-05-2022 11:00:00,0
Trondheim - Høvringen,SN68010,15-05-2022 12:00:00,0.1
Trondheim - Høvringen,SN68010,15-05-2022 13:00:00,0
Trondheim - Høvringen,SN68010,15-05-2022 14:00:00,0
Trondheim - Høvringen,SN68010,15-05-2022 15:00:00,0
Trondheim - Høvringen,SN68010,15-05-2022 16:00:00,0
Trondheim - Høvringen,SN68010,15-05-2022 17:00:00,0
Trondheim - Høvringen,SN68010,15-05-2022 18:00:00,0
Trondheim - Høvringen,SN68010,15-05-2022 19:00:00,0
Trondheim - Høvringen,SN68010,15-05-2022 20:00:00,0
Trondheim - Høvringen,SN68010,15-05-2022 21:00:00,0
Trondheim - Høvringen,SN68010,15-05-2022 22:00:00,0
Trondheim - Høvringen,SN68010,15-05-2022 23:00:00,0
Trondheim - Høvringen,SN68010,16-05-2022 00:00:00,0
Trondheim - Høvringen,SN68010,16-05-2022 01:00:00,0
Trondheim - Høvringen,SN68010,16-05-2022 02:00:00,0.1
Trondheim - Høvringen,SN68010,16-05-2022 03:00:00,0
Trondheim - Høvringen,SN68010,16-05-2022 04:00:00,0
Trondheim - Høvringen,SN68010,16-05-2022 05:00:00,0
Trondheim - Høvringen,SN68010,16-05-2022 06:00:00,0
Trondheim - Høvringen,SN68010,16-05-2022 07:00:00,0
Trondheim - Høvringen,SN68010,16-05-2022 08:00:00,0
Trondheim - Høvringen,SN68010,16-05-2022 09:00:00,0
Trondheim - Høvringen,SN68010,16-05-2022 10:00:00,0
Trondheim - Høvringen,SN68010,16-05-2022 11:00:00,0
Trondheim - Høvringen,SN68010,16-05-2022 12:00:00,0
Trondheim - Høvringen,SN68010,16-05-2022 13:00:00,0
Trondheim - Høvringen,SN68010,16-05-2022 14:00:00,0
Trondheim - Høvringen,SN68010,16-05-2022 15:00:00,0
Trondheim - Høvringen,SN68010,16-05-2022 16:00:00,0
Trondheim - Høvringen,SN68010,16-05-2022 17:00:00,0
Trondheim - Høvringen,SN68010,16-05-2022 18:00:00,0
Trondheim - Høvringen,SN68010,16-05-2022 19:00:00,0
Trondheim - Høvringen,SN68010,16-05-2022 20:00:00,0
Trondheim - Høvringen,SN68010,16-05-2022 21:00:00,0
Trondheim - Høvringen,SN68010,16-05-2022 22:00:00,0
Trondheim - Høvringen,SN68010,16-05-2022 23:00:00,0
Trondheim - Høvringen,SN68010,17-05-2022 00:00:00,0
Trondheim - Høvringen,SN68010,17-05-2022 01:00:00,0
Trondheim - Høvringen,SN68010,17-05-2022 02:00:00,0
Trondheim - Høvringen,SN68010,17-05-2022 03:00:00,0
Trondheim - Høvringen,SN68010,17-05-2022 04:00:00,0
Trondheim - Høvringen,SN68010,17-05-2022 05:00:00,0
Trondheim - Høvringen,SN68010,17-05-2022 06:00:00,0
Trondheim - Høvringen,SN68010,17-05-2022 07:00:00,0
Trondheim - Høvringen,SN68010,17-05-2022 08:00:00,0
Trondheim - Høvringen,SN68010,17-05-2022 09:00:00,0
Trondheim - Høvringen,SN68010,17-05-2022 10:00:00,0
Trondheim - Høvringen,SN68010,17-05-2022 11:00:00,0
Trondheim - Høvringen,SN68010,17-05-2022 12:00:00,0
Trondheim - Høvringen,SN68010,17-05-2022 13:00:00,0
Trondheim - Høvringen,SN68010,17-05-2022 14:00:00,0
Trondheim - Høvringen,SN68010,17-05-2022 15:00:00,0
Trondheim - Høvringen,SN68010,17-05-2022 16:00:00,0
Trondheim - Høvringen,SN68010,17-05-2022 17:00:00,0
Trondheim - Høvringen,SN68010,17-05-2022 18:00:00,0
Trondheim - Høvringen,SN68010,17-05-2022 19:00:00,0
Trondheim - Høvringen,SN68010,17-05-2022 20:00:00,0
Trondheim - Høvringen,SN68010,17-05-2022 21:00:00,0
Trondheim - Høvringen,SN68010,17-05-2022 22:00:00,0
Trondheim - Høvringen,SN68010,17-05-2022 23:00:00,0
Trondheim - Høvringen,SN68010,18-05-2022 00:00:00,0
Trondheim - Høvringen,SN68010,18-05-2022 01:00:00,0
Trondheim - Høvringen,SN68010,18-05-2022 02:00:00,0
Trondheim - Høvringen,SN68010,18-05-2022 03:00:00,0
Trondheim - Høvringen,SN68010,18-05-2022 04:00:00,0
Trondheim - Høvringen,SN68010,18-05-2022 05:00:00,0
Trondheim - Høvringen,SN68010,18-05-2022 06:00:00,0
Trondheim - Høvringen,SN68010,18-05-2022 07:00:00,0
Trondheim - Høvringen,SN68010,18-05-2022 08:00:00,0
Trondheim - Høvringen,SN68010,18-05-2022 09:00:00,0
Trondheim - Høvringen,SN68010,18-05-2022 10:00:00,0
Trondheim - Høvringen,SN68010,18-05-2022 11:00:00,0
Trondheim - Høvringen,SN68010,18-05-2022 12:00:00,0
Trondheim - Høvringen,SN68010,18-05-2022 13:00:00,0
Trondheim - Høvringen,SN68010,18-05-2022 14:00:00,0
Trondheim - Høvringen,SN68010,18-05-2022 15:00:00,0
Trondheim - Høvringen,SN68010,18-05-2022 16:00:00,0
Trondheim - Høvringen,SN68010,18-05-2022 17:00:00,0
Trondheim - Høvringen,SN68010,18-05-2022 18:00:00,0
Trondheim - Høvringen,SN68010,18-05-2022 19:00:00,0
Trondheim - Høvringen,SN68010,18-05-2022 20:00:00,0
Trondheim - Høvringen,SN68010,18-05-2022 21:00:00,0
Trondheim - Høvringen,SN68010,18-05-2022 22:00:00,0
Trondheim - Høvringen,SN68010,18-05-2022 23:00:00,0
Trondheim - Høvringen,SN68010,19-05-2022 00:00:00,0
Trondheim - Høvringen,SN68010,19-05-2022 01:00:00,0
Trondheim - Høvringen,SN68010,19-05-2022 02:00:00,0
Trondheim - Høvringen,SN68010,19-05-2022 03:00:00,0
Trondheim - Høvringen,SN68010,19-05-2022 04:00:00,0
Trondheim - Høvringen,SN68010,19-05-2022 05:00:00,0
Trondheim - Høvringen,SN68010,19-05-2022 06:00:00,0
Trondheim - Høvringen,SN68010,19-05-2022 07:00:00,0
Trondheim - Høvringen,SN68010,19-05-2022 08:00:00,0
Trondheim - Høvringen,SN68010,19-05-2022 09:00:00,0
Trondheim - Høvringen,SN68010,19-05-2022 10:00:00,0
Trondheim - Høvringen,SN68010,19-05-2022 11:00:00,0
Trondheim - Høvringen,SN68010,19-05-2022 12:00:00,0
Trondheim - Høvringen,SN68010,19-05-2022 13:00:00,0
Trondheim - Høvringen,SN68010,19-05-2022 14:00:00,0
Trondheim - Høvringen,SN68010,19-05-2022 15:00:00,0
Trondheim - Høvringen,SN68010,19-05-2022 16:00:00,0
Trondheim - Høvringen,SN68010,19-05-2022 17:00:00,0
Trondheim - Høvringen,SN68010,19-05-2022 18:00:00,0
Trondheim - Høvringen,SN68010,19-05-2022 19:00:00,0
Trondheim - Høvringen,SN68010,19-05-2022 20:00:00,0
Trondheim - Høvringen,SN68010,19-05-2022 21:00:00,0
Trondheim - Høvringen,SN68010,19-05-2022 22:00:00,0
Trondheim - Høvringen,SN68010,19-05-2022 23:00:00,0
Trondheim - Høvringen,SN68010,20-05-2022 00:00:00,0
Trondheim - Høvringen,SN68010,20-05-2022 01:00:00,0
Trondheim - Høvringen,SN68010,20-05-2022 02:00:00,0
Trondheim - Høvringen,SN68010,20-05-2022 03:00:00,0
Trondheim - Høvringen,SN68010,20-05-2022 04:00:00,0
Trondheim - Høvringen,SN68010,20-05-2022 05:00:00,0
Trondheim - Høvringen,SN68010,20-05-2022 06:00:00,0
Trondheim - Høvringen,SN68010,20-05-2022 07:00:00,0
Trondheim - Høvringen,SN68010,20-05-2022 08:00:00,0
Trondheim - Høvringen,SN68010,20-05-2022 09:00:00,0
Trondheim - Høvringen,SN68010,20-05-2022 10:00:00,0
Trondheim - Høvringen,SN68010,20-05-2022 11:00:00,0
Trondheim - Høvringen,SN68010,20-05-2022 12:00:00,0
Trondheim - Høvringen,SN68010,20-05-2022 13:00:00,0
Trondheim - Høvringen,SN68010,20-05-2022 14:00:00,0
Trondheim - Høvringen,SN68010,20-05-2022 15:00:00,0
Trondheim - Høvringen,SN68010,20-05-2022 16:00:00,0
Trondheim - Høvringen,SN68010,20-05-2022 17:00:00,0
Trondheim - Høvringen,SN68010,20-05-2022 18:00:00,0
Trondheim - Høvringen,SN68010,20-05-2022 19:00:00,0
Trondheim - Høvringen,SN68010,20-05-2022 20:00:00,0
Trondheim - Høvringen,SN68010,20-05-2022 21:00:00,0
Trondheim - Høvringen,SN68010,20-05-2022 22:00:00,0
Trondheim - Høvringen,SN68010,20-05-2022 23:00:00,0
Trondheim - Høvringen,SN68010,21-05-2022 00:00:00,0
Trondheim - Høvringen,SN68010,21-05-2022 01:00:00,0
Trondheim - Høvringen,SN68010,21-05-2022 02:00:00,0
Trondheim - Høvringen,SN68010,21-05-2022 03:00:00,0
Trondheim - Høvringen,SN68010,21-05-2022 04:00:00,0
Trondheim - Høvringen,SN68010,21-05-2022 05:00:00,0
Trondheim - Høvringen,SN68010,21-05-2022 06:00:00,0
Trondheim - Høvringen,SN68010,21-05-2022 07:00:00,0
Trondheim - Høvringen,SN68010,21-05-2022 08:00:00,0
Trondheim - Høvringen,SN68010,21-05-2022 09:00:00,0
Trondheim - Høvringen,SN68010,21-05-2022 10:00:00,0
Trondheim - Høvringen,SN68010,21-05-2022 11:00:00,0
Trondheim - Høvringen,SN68010,21-05-2022 12:00:00,0
Trondheim - Høvringen,SN68010,21-05-2022 13:00:00,0
Trondheim - Høvringen,SN68010,21-05-2022 14:00:00,0
Trondheim - Høvringen,SN68010,21-05-2022 15:00:00,0
Trondheim - Høvringen,SN68010,21-05-2022 16:00:00,0
Trondheim - Høvringen,SN68010,21-05-2022 17:00:00,0
Trondheim - Høvringen,SN68010,21-05-2022 18:00:00,0
Trondheim - Høvringen,SN68010,21-05-2022 19:00:00,0
Trondheim - Høvringen,SN68010,21-05-2022 20:00:00,0
Trondheim - Høvringen,SN68010,21-05-2022 21:00:00,0
Trondheim - Høvringen,SN68010,21-05-2022 22:00:00,0
Trondheim - Høvringen,SN68010,21-05-2022 23:00:00,0
Trondheim - Høvringen,SN68010,22-05-2022 00:00:00,0
Trondheim - Høvringen,SN68010,22-05-2022 01:00:00,0
Trondheim - Høvringen,SN68010,22-05-2022 02:00:00,0.4
Trondheim - Høvringen,SN68010,22-05-2022 03:00:00,0.5
Trondheim - Høvringen,SN68010,22-05-2022 04:00:00,0.2
Trondheim - Høvringen,SN68010,22-05-2022 05:00:00,0.1
Trondheim - Høvringen,SN68010,22-05-2022 06:00:00,0.2
Trondheim - Høvringen,SN68010,22-05-2022 07:00:00,0.1
Trondheim - Høvringen,SN68010,22-05-2022 08:00:00,0
Trondheim - Høvringen,SN68010,22-05-2022 09:00:00,0
Trondheim - Høvringen,SN68010,22-05-2022 10:00:00,0
Trondheim - Høvringen,SN68010,22-05-2022 11:00:00,0
Trondheim - Høvringen,SN68010,22-05-2022 12:00:00,0
Trondheim - Høvringen,SN68010,22-05-2022 13:00:00,0.5
Trondheim - Høvringen,SN68010,22-05-2022 14:00:00,0
Trondheim - Høvringen,SN68010,22-05-2022 15:00:00,0
Trondheim - Høvringen,SN68010,22-05-2022 16:00:00,0
Trondheim - Høvringen,SN68010,22-05-2022 17:00:00,0
Trondheim - Høvringen,SN68010,22-05-2022 18:00:00,0
Trondheim - Høvringen,SN68010,22-05-2022 19:00:00,0
Trondheim - Høvringen,SN68010,22-05-2022 20:00:00,0
Trondheim - Høvringen,SN68010,22-05-2022 21:00:00,0
Trondheim - Høvringen,SN68010,22-05-2022 22:00:00,0
Trondheim - Høvringen,SN68010,22-05-2022 23:00:00,0
Trondheim - Høvringen,SN68010,23-05-2022 00:00:00,0
Trondheim - Høvringen,SN68010,23-05-2022 01:00:00,0
Trondheim - Høvringen,SN68010,23-05-2022 02:00:00,0
Trondheim - Høvringen,SN68010,23-05-2022 03:00:00,0
Trondheim - Høvringen,SN68010,23-05-2022 04:00:00,0
Trondheim - Høvringen,SN68010,23-05-2022 05:00:00,0
Trondheim - Høvringen,SN68010,23-05-2022 06:00:00,0
Trondheim - Høvringen,SN68010,23-05-2022 07:00:00,0
Trondheim - Høvringen,SN68010,23-05-2022 08:00:00,0
Trondheim - Høvringen,SN68010,23-05-2022 09:00:00,0
Trondheim - Høvringen,SN68010,23-05-2022 10:00:00,0
Trondheim - Høvringen,SN68010,23-05-2022 11:00:00,0
Trondheim - Høvringen,SN68010,23-05-2022 12:00:00,0
Trondheim - Høvringen,SN68010,23-05-2022 13:00:00,0
Trondheim - Høvringen,SN68010,23-05-2022 14:00:00,0
Trondheim - Høvringen,SN68010,23-05-2022 15:00:00,0
Trondheim - Høvringen,SN68010,23-05-2022 16:00:00,0
Trondheim - Høvringen,SN68010,23-05-2022 17:00:00,0
Trondheim - Høvringen,SN68010,23-05-2022 18:00:00,0
Trondheim - Høvringen,SN68010,23-05-2022 19:00:00,0
Trondheim - Høvringen,SN68010,23-05-2022 20:00:00,0
Trondheim - Høvringen,SN68010,23-05-2022 21:00:00,0
Trondheim - Høvringen,SN68010,23-05-2022 22:00:00,0
Trondheim - Høvringen,SN68010,23-05-2022 23:00:00,0
Trondheim - Høvringen,SN68010,24-05-2022 00:00:00,0
Trondheim - Høvringen,SN68010,24-05-2022 01:00:00,0
Trondheim - Høvringen,SN68010,24-05-2022 02:00:00,0
Trondheim - Høvringen,SN68010,24-05-2022 03:00:00,0
Trondheim - Høvringen,SN68010,24-05-2022 04:00:00,0
Trondheim - Høvringen,SN68010,24-05-2022 05:00:00,0
Trondheim - Høvringen,SN68010,24-05-2022 06:00:00,0
Trondheim - Høvringen,SN68010,24-05-2022 07:00:00,0
Trondheim - Høvringen,SN68010,24-05-2022 08:00:00,0
Trondheim - Høvringen,SN68010,24-05-2022 09:00:00,0
Trondheim - Høvringen,SN68010,24-05-2022 10:00:00,0
Trondheim - Høvringen,SN68010,24-05-2022 11:00:00,0
Trondheim - Høvringen,SN68010,24-05-2022 12:00:00,0
Trondheim - Høvringen,SN68010,24-05-2022 13:00:00,0
Trondheim - Høvringen,SN68010,24-05-2022 14:00:00,0
Trondheim - Høvringen,SN68010,24-05-2022 15:00:00,0
Trondheim - Høvringen,SN68010,24-05-2022 16:00:00,0.1
Trondheim - Høvringen,SN68010,24-05-2022 17:00:00,0.3
Trondheim - Høvringen,SN68010,24-05-2022 18:00:00,0
Trondheim - Høvringen,SN68010,24-05-2022 19:00:00,0
Trondheim - Høvringen,SN68010,24-05-2022 20:00:00,0
Trondheim - Høvringen,SN68010,24-05-2022 21:00:00,0
Trondheim - Høvringen,SN68010,24-05-2022 22:00:00,0
Trondheim - Høvringen,SN68010,24-05-2022 23:00:00,0
Trondheim - Høvringen,SN68010,25-05-2022 00:00:00,0
Trondheim - Høvringen,SN68010,25-05-2022 01:00:00,0
Trondheim - Høvringen,SN68010,25-05-2022 02:00:00,0
Trondheim - Høvringen,SN68010,25-05-2022 03:00:00,0
Trondheim - Høvringen,SN68010,25-05-2022 04:00:00,0
Trondheim - Høvringen,SN68010,25-05-2022 05:00:00,0
Trondheim - Høvringen,SN68010,25-05-2022 06:00:00,0
Trondheim - Høvringen,SN68010,25-05-2022 07:00:00,0
Trondheim - Høvringen,SN68010,25-05-2022 08:00:00,0
Trondheim - Høvringen,SN68010,25-05-2022 09:00:00,0
Trondheim - Høvringen,SN68010,25-05-2022 10:00:00,0
Trondheim - Høvringen,SN68010,25-05-2022 11:00:00,0
Trondheim - Høvringen,SN68010,25-05-2022 12:00:00,0
Trondheim - Høvringen,SN68010,25-05-2022 13:00:00,0
Trondheim - Høvringen,SN68010,25-05-2022 14:00:00,0
Trondheim - Høvringen,SN68010,25-05-2022 15:00:00,0
Trondheim - Høvringen,SN68010,25-05-2022 16:00:00,0
Trondheim - Høvringen,SN68010,25-05-2022 17:00:00,0
Trondheim - Høvringen,SN68010,25-05-2022 18:00:00,0
Trondheim - Høvringen,SN68010,25-05-2022 19:00:00,0
Trondheim - Høvringen,SN68010,25-05-2022 20:00:00,0
Trondheim - Høvringen,SN68010,25-05-2022 21:00:00,0
Trondheim - Høvringen,SN68010,25-05-2022 22:00:00,0
Trondheim - Høvringen,SN68010,25-05-2022 23:00:00,0
Trondheim - Høvringen,SN68010,26-05-2022 00:00:00,0
Trondheim - Høvringen,SN68010,26-05-2022 01:00:00,0
Trondheim - Høvringen,SN68010,26-05-2022 02:00:00,0
Trondheim - Høvringen,SN68010,26-05-2022 03:00:00,0
Trondheim - Høvringen,SN68010,26-05-2022 04:00:00,0
Trondheim - Høvringen,SN68010,26-05-2022 05:00:00,0
Trondheim - Høvringen,SN68010,26-05-2022 06:00:00,0
Trondheim - Høvringen,SN68010,26-05-2022 07:00:00,0
Trondheim - Høvringen,SN68010,26-05-2022 08:00:00,0
Trondheim - Høvringen,SN68010,26-05-2022 09:00:00,0
Trondheim - Høvringen,SN68010,26-05-2022 10:00:00,0
Trondheim - Høvringen,SN68010,26-05-2022 11:00:00,0
Trondheim - Høvringen,SN68010,26-05-2022 12:00:00,0
Trondheim - Høvringen,SN68010,26-05-2022 13:00:00,0
Trondheim - Høvringen,SN68010,26-05-2022 14:00:00,0
Trondheim - Høvringen,SN68010,26-05-2022 15:00:00,0
Trondheim - Høvringen,SN68010,26-05-2022 16:00:00,0.2
Trondheim - Høvringen,SN68010,26-05-2022 17:00:00,0
Trondheim - Høvringen,SN68010,26-05-2022 18:00:00,0
Trondheim - Høvringen,SN68010,26-05-2022 19:00:00,0
Trondheim - Høvringen,SN68010,26-05-2022 20:00:00,0
Trondheim - Høvringen,SN68010,26-05-2022 21:00:00,0
Trondheim - Høvringen,SN68010,26-05-2022 22:00:00,0
Trondheim - Høvringen,SN68010,26-05-2022 23:00:00,0
Trondheim - Høvringen,SN68010,27-05-2022 00:00:00,0
Trondheim - Høvringen,SN68010,27-05-2022 01:00:00,0
Trondheim - Høvringen,SN68010,27-05-2022 02:00:00,0
Trondheim - Høvringen,SN68010,27-05-2022 03:00:00,0
Trondheim - Høvringen,SN68010,27-05-2022 04:00:00,0
Trondheim - Høvringen,SN68010,27-05-2022 05:00:00,0
Trondheim - Høvringen,SN68010,27-05-2022 06:00:00,0
Trondheim - Høvringen,SN68010,27-05-2022 07:00:00,0
Trondheim - Høvringen,SN68010,27-05-2022 08:00:00,0
Trondheim - Høvringen,SN68010,27-05-2022 09:00:00,0
Trondheim - Høvringen,SN68010,27-05-2022 10:00:00,0
Trondheim - Høvringen,SN68010,27-05-2022 11:00:00,0
Trondheim - Høvringen,SN68010,27-05-2022 12:00:00,0
Trondheim - Høvringen,SN68010,27-05-2022 13:00:00,0
Trondheim - Høvringen,SN68010,27-05-2022 14:00:00,0
Trondheim - Høvringen,SN68010,27-05-2022 15:00:00,0
Trondheim - Høvringen,SN68010,27-05-2022 16:00:00,0
Trondheim - Høvringen,SN68010,27-05-2022 17:00:00,0
Trondheim - Høvringen,SN68010,27-05-2022 18:00:00,0
Trondheim - Høvringen,SN68010,27-05-2022 19:00:00,0
Trondheim - Høvringen,SN68010,27-05-2022 20:00:00,0
Trondheim - Høvringen,SN68010,27-05-2022 21:00:00,0
Trondheim - Høvringen,SN68010,27-05-2022 22:00:00,0
Trondheim - Høvringen,SN68010,27-05-2022 23:00:00,0
Trondheim - Høvringen,SN68010,28-05-2022 00:00:00,0
Trondheim - Høvringen,SN68010,28-05-2022 01:00:00,0
Trondheim - Høvringen,SN68010,28-05-2022 02:00:00,0
Trondheim - Høvringen,SN68010,28-05-2022 03:00:00,0.1
Trondheim - Høvringen,SN68010,28-05-2022 04:00:00,0
Trondheim - Høvringen,SN68010,28-05-2022 05:00:00,0
Trondheim - Høvringen,SN68010,28-05-2022 06:00:00,0
Trondheim - Høvringen,SN68010,28-05-2022 07:00:00,0
Trondheim - Høvringen,SN68010,28-05-2022 08:00:00,0
Trondheim - Høvringen,SN68010,28-05-2022 09:00:00,0
Trondheim - Høvringen,SN68010,28-05-2022 10:00:00,0.1
Trondheim - Høvringen,SN68010,28-05-2022 11:00:00,0.1
Trondheim - Høvringen,SN68010,28-05-2022 12:00:00,0.1
Trondheim - Høvringen,SN68010,28-05-2022 13:00:00,0.2
Trondheim - Høvringen,SN68010,28-05-2022 14:00:00,0.1
Trondheim - Høvringen,SN68010,28-05-2022 15:00:00,0
Trondheim - Høvringen,SN68010,28-05-2022 16:00:00,0
Trondheim - Høvringen,SN68010,28-05-2022 17:00:00,0
Trondheim - Høvringen,SN68010,28-05-2022 18:00:00,0
Trondheim - Høvringen,SN68010,28-05-2022 19:00:00,0
Trondheim - Høvringen,SN68010,28-05-2022 20:00:00,0
Trondheim - Høvringen,SN68010,28-05-2022 21:00:00,0.3
Trondheim - Høvringen,SN68010,28-05-2022 22:00:00,0.6
Trondheim - Høvringen,SN68010,28-05-2022 23:00:00,1.7
Trondheim - Høvringen,SN68010,29-05-2022 00:00:00,2.2
Trondheim - Høvringen,SN68010,29-05-2022 01:00:00,2.2
Trondheim - Høvringen,SN68010,29-05-2022 02:00:00,1.8
Trondheim - Høvringen,SN68010,29-05-2022 03:00:00,1.2
Trondheim - Høvringen,SN68010,29-05-2022 04:00:00,0.6
Trondheim - Høvringen,SN68010,29-05-2022 05:00:00,0.1
Trondheim - Høvringen,SN68010,29-05-2022 06:00:00,0
Trondheim - Høvringen,SN68010,29-05-2022 07:00:00,0.1
Trondheim - Høvringen,SN68010,29-05-2022 08:00:00,0.4
Trondheim - Høvringen,SN68010,29-05-2022 09:00:00,0.4
Trondheim - Høvringen,SN68010,29-05-2022 10:00:00,0.4
Trondheim - Høvringen,SN68010,29-05-2022 11:00:00,0.1
Trondheim - Høvringen,SN68010,29-05-2022 12:00:00,0
Trondheim - Høvringen,SN68010,29-05-2022 13:00:00,0
Trondheim - Høvringen,SN68010,29-05-2022 14:00:00,0
Trondheim - Høvringen,SN68010,29-05-2022 15:00:00,0
Trondheim - Høvringen,SN68010,29-05-2022 16:00:00,0
Trondheim - Høvringen,SN68010,29-05-2022 17:00:00,0
Trondheim - Høvringen,SN68010,29-05-2022 18:00:00,0
Trondheim - Høvringen,SN68010,29-05-2022 19:00:00,0
Trondheim - Høvringen,SN68010,29-05-2022 20:00:00,0
Trondheim - Høvringen,SN68010,29-05-2022 21:00:00,0
Trondheim - Høvringen,SN68010,29-05-2022 22:00:00,0
Trondheim - Høvringen,SN68010,29-05-2022 23:00:00,0
Trondheim - Høvringen,SN68010,30-05-2022 00:00:00,0
Trondheim - Høvringen,SN68010,30-05-2022 01:00:00,0
Trondheim - Høvringen,SN68010,30-05-2022 02:00:00,0
Trondheim - Høvringen,SN68010,30-05-2022 03:00:00,0
Trondheim - Høvringen,SN68010,30-05-2022 04:00:00,0
Trondheim - Høvringen,SN68010,30-05-2022 05:00:00,0
Trondheim - Høvringen,SN68010,30-05-2022 06:00:00,0
Trondheim - Høvringen,SN68010,30-05-2022 07:00:00,0
Trondheim - Høvringen,SN68010,30-05-2022 08:00:00,0
Trondheim - Høvringen,SN68010,30-05-2022 09:00:00,0
Trondheim - Høvringen,SN68010,30-05-2022 10:00:00,0
Trondheim - Høvringen,SN68010,30-05-2022 11:00:00,0
Trondheim - Høvringen,SN68010,30-05-2022 12:00:00,0
Trondheim - Høvringen,SN68010,30-05-2022 13:00:00,0
Trondheim - Høvringen,SN68010,30-05-2022 14:00:00,0
